Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
id: 3, steps per second: 0, RPM: 0.0000
Go 0 SpeedFac:0.001221 DistDiff:0.000000 
id: 0, steps per second: 1485, RPM: 49.5125
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 4907, RPM: 87.6539
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 8628, RPM: 160.8423
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 11533, RPM: 189.6452
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 12638, RPM: 189.6452
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 12635, RPM: 189.6452
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 12209, RPM: 161.9776
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 9447, RPM: 113.5454
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
id: 0, steps per second: 3380, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
