Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
3 SF: 0.271618 
0 SF: 0.273014 
1 SF: 0.273182 
2 SF: 0.273338 
3 SF: 0.273496 
0 SF: 0.274886 
1 SF: 0.275046 
2 SF: 0.275204 
3 SF: 0.275354 
0 SF: 0.276762 
1 SF: 0.276924 
2 SF: 0.277082 
3 SF: 0.277234 
0 SF: 0.278632 
1 SF: 0.278788 
2 SF: 0.278950 
3 SF: 0.279102 
0 SF: 0.280494 
1 SF: 0.280664 
2 SF: 0.280822 
3 SF: 0.280976 
0 SF: 0.282368 
1 SF: 0.282530 
2 SF: 0.282692 
3 SF: 0.282856 
0 SF: 0.284258 
1 SF: 0.284420 
2 SF: 0.284580 
3 SF: 0.284730 
0 SF: 0.286138 
1 SF: 0.286302 
2 SF: 0.286460 
3 SF: 0.286610 
0 SF: 0.288018 
1 SF: 0.288176 
2 SF: 0.288338 
3 SF: 0.288496 
0 SF: 0.289884 
1 SF: 0.290044 
2 SF: 0.290202 
3 SF: 0.290354 
0 SF: 0.291758 
1 SF: 0.291920 
2 SF: 0.292078 
3 SF: 0.292232 
0 SF: 0.293626 
1 SF: 0.293800 
2 SF: 0.293970 
3 SF: 0.294126 
0 SF: 0.295488 
1 SF: 0.295646 
2 SF: 0.295808 
3 SF: 0.295962 
0 SF: 0.297362 
1 SF: 0.297522 
2 SF: 0.297682 
3 SF: 0.297842 
0 SF: 0.299256 
1 SF: 0.299414 
2 SF: 0.299574 
3 SF: 0.299732 
0 SF: 0.301124 
1 SF: 0.301282 
2 SF: 0.301444 
3 SF: 0.301598 
0 SF: 0.303014 
1 SF: 0.303184 
2 SF: 0.303348 
3 SF: 0.303502 
0 SF: 0.304894 
1 SF: 0.305064 
2 SF: 0.305216 
3 SF: 0.305366 
0 SF: 0.306766 
1 SF: 0.306938 
2 SF: 0.307094 
3 SF: 0.307242 
0 SF: 0.308640 
1 SF: 0.308812 
2 SF: 0.308968 
3 SF: 0.309118 
0 SF: 0.310518 
1 SF: 0.310672 
2 SF: 0.310840 
3 SF: 0.310984 
0 SF: 0.312384 
1 SF: 0.312544 
2 SF: 0.312714 
3 SF: 0.312848 
0 SF: 0.314256 
1 SF: 0.314432 
2 SF: 0.314590 
3 SF: 0.314746 
0 SF: 0.316124 
1 SF: 0.316284 
2 SF: 0.316448 
3 SF: 0.316610 
0 SF: 0.318010 
1 SF: 0.318172 
2 SF: 0.318332 
3 SF: 0.318486 
0 SF: 0.319884 
1 SF: 0.320054 
2 SF: 0.320218 
3 SF: 0.320372 
0 SF: 0.321768 
1 SF: 0.321928 
2 SF: 0.322086 
3 SF: 0.322242 
0 SF: 0.323650 
1 SF: 0.323824 
2 SF: 0.324002 
3 SF: 0.324166 
0 SF: 0.325536 
1 SF: 0.325704 
2 SF: 0.325870 
3 SF: 0.326034 
0 SF: 0.327416 
1 SF: 0.327586 
2 SF: 0.327756 
3 SF: 0.327918 
0 SF: 0.329306 
1 SF: 0.329472 
2 SF: 0.329640 
3 SF: 0.329808 
0 SF: 0.331192 
1 SF: 0.331356 
2 SF: 0.331518 
3 SF: 0.331678 
0 SF: 0.333066 
1 SF: 0.333236 
2 SF: 0.333414 
3 SF: 0.333578 
0 SF: 0.334946 
1 SF: 0.335116 
2 SF: 0.335292 
3 SF: 0.335456 
0 SF: 0.336832 
1 SF: 0.337002 
2 SF: 0.337172 
3 SF: 0.337330 
0 SF: 0.338712 
1 SF: 0.338876 
2 SF: 0.339048 
3 SF: 0.339212 
0 SF: 0.340582 
1 SF: 0.340750 
2 SF: 0.340914 
3 SF: 0.341076 
0 SF: 0.342450 
1 SF: 0.342624 
2 SF: 0.342788 
3 SF: 0.342954 
0 SF: 0.344326 
1 SF: 0.344504 
2 SF: 0.344678 
3 SF: 0.344848 
0 SF: 0.346196 
1 SF: 0.346364 
2 SF: 0.346538 
3 SF: 0.346702 
0 SF: 0.348080 
1 SF: 0.348250 
2 SF: 0.348422 
3 SF: 0.348580 
0 SF: 0.349964 
1 SF: 0.350136 
2 SF: 0.350306 
3 SF: 0.350466 
0 SF: 0.351862 
1 SF: 0.352048 
2 SF: 0.352212 
3 SF: 0.352378 
0 SF: 0.353770 
1 SF: 0.353942 
2 SF: 0.354118 
3 SF: 0.354280 
0 SF: 0.355668 
1 SF: 0.355842 
2 SF: 0.356010 
3 SF: 0.356170 
0 SF: 0.357578 
1 SF: 0.357752 
2 SF: 0.357922 
3 SF: 0.358086 
0 SF: 0.359496 
1 SF: 0.359670 
2 SF: 0.359840 
3 SF: 0.360006 
0 SF: 0.361410 
1 SF: 0.361580 
2 SF: 0.361754 
3 SF: 0.361922 
0 SF: 0.363302 
1 SF: 0.363470 
2 SF: 0.363644 
3 SF: 0.363816 
0 SF: 0.365206 
1 SF: 0.365380 
2 SF: 0.365556 
3 SF: 0.365726 
0 SF: 0.367114 
1 SF: 0.367288 
2 SF: 0.367466 
3 SF: 0.367634 
0 SF: 0.369032 
1 SF: 0.369202 
2 SF: 0.369376 
3 SF: 0.369542 
0 SF: 0.370932 
1 SF: 0.371104 
2 SF: 0.371276 
3 SF: 0.371440 
0 SF: 0.372842 
1 SF: 0.373018 
2 SF: 0.373192 
3 SF: 0.373356 
0 SF: 0.374750 
1 SF: 0.374936 
2 SF: 0.375114 
3 SF: 0.375288 
0 SF: 0.376666 
1 SF: 0.376848 
2 SF: 0.377020 
3 SF: 0.377190 
0 SF: 0.378568 
1 SF: 0.378744 
2 SF: 0.378922 
3 SF: 0.379092 
0 SF: 0.380468 
1 SF: 0.380644 
2 SF: 0.380818 
3 SF: 0.380982 
0 SF: 0.382388 
1 SF: 0.382562 
2 SF: 0.382740 
3 SF: 0.382908 
0 SF: 0.384292 
1 SF: 0.384478 
2 SF: 0.384664 
3 SF: 0.384838 
0 SF: 0.386204 
1 SF: 0.386384 
2 SF: 0.386562 
3 SF: 0.386736 
0 SF: 0.388156 
1 SF: 0.388342 
2 SF: 0.388522 
3 SF: 0.388690 
0 SF: 0.390128 
1 SF: 0.390304 
2 SF: 0.390478 
3 SF: 0.390640 
0 SF: 0.392082 
1 SF: 0.392252 
2 SF: 0.392426 
3 SF: 0.392596 
0 SF: 0.394036 
1 SF: 0.394220 
2 SF: 0.394394 
3 SF: 0.394572 
0 SF: 0.396008 
1 SF: 0.396182 
2 SF: 0.396342 
3 SF: 0.396498 
0 SF: 0.397964 
1 SF: 0.398136 
2 SF: 0.398308 
3 SF: 0.398474 
0 SF: 0.399930 
1 SF: 0.400100 
2 SF: 0.400254 
3 SF: 0.400420 
0 SF: 0.401890 
1 SF: 0.402062 
2 SF: 0.402236 
3 SF: 0.402406 
0 SF: 0.403854 
1 SF: 0.404024 
2 SF: 0.404182 
3 SF: 0.404358 
0 SF: 0.405838 
1 SF: 0.406010 
2 SF: 0.406178 
3 SF: 0.406330 
0 SF: 0.407792 
1 SF: 0.407964 
2 SF: 0.408132 
3 SF: 0.408278 
0 SF: 0.409762 
1 SF: 0.409930 
2 SF: 0.410100 
3 SF: 0.410268 
0 SF: 0.411732 
1 SF: 0.411902 
2 SF: 0.412076 
3 SF: 0.412240 
0 SF: 0.413688 
1 SF: 0.413866 
2 SF: 0.414038 
3 SF: 0.414204 
0 SF: 0.415648 
1 SF: 0.415834 
2 SF: 0.416010 
3 SF: 0.416172 
0 SF: 0.417622 
1 SF: 0.417808 
2 SF: 0.417982 
3 SF: 0.418144 
0 SF: 0.419592 
1 SF: 0.419778 
2 SF: 0.419956 
3 SF: 0.420126 
0 SF: 0.421554 
1 SF: 0.421738 
2 SF: 0.421920 
3 SF: 0.422092 
0 SF: 0.423520 
1 SF: 0.423700 
2 SF: 0.423878 
3 SF: 0.424048 
0 SF: 0.425500 
1 SF: 0.425694 
2 SF: 0.425880 
3 SF: 0.426058 
0 SF: 0.427472 
1 SF: 0.427656 
2 SF: 0.427842 
3 SF: 0.428018 
0 SF: 0.429434 
1 SF: 0.429620 
2 SF: 0.429810 
3 SF: 0.429980 
0 SF: 0.431422 
1 SF: 0.431610 
2 SF: 0.431796 
3 SF: 0.431978 
0 SF: 0.433390 
1 SF: 0.433572 
2 SF: 0.433764 
3 SF: 0.433940 
0 SF: 0.435372 
1 SF: 0.435570 
2 SF: 0.435764 
3 SF: 0.435942 
0 SF: 0.437334 
1 SF: 0.437516 
2 SF: 0.437712 
3 SF: 0.437882 
0 SF: 0.439300 
1 SF: 0.439482 
2 SF: 0.439672 
3 SF: 0.439848 
0 SF: 0.441268 
1 SF: 0.441448 
2 SF: 0.441640 
3 SF: 0.441808 
0 SF: 0.443242 
1 SF: 0.443432 
2 SF: 0.443616 
3 SF: 0.443794 
0 SF: 0.445220 
1 SF: 0.445416 
2 SF: 0.445620 
3 SF: 0.445800 
0 SF: 0.447190 
1 SF: 0.447378 
2 SF: 0.447562 
